Model,Accuracy,Precision (Win),Precision (Draw),Precision (Loss),Recall (Win),Recall (Draw),Recall (Loss),F1 (Win),F1 (Draw),F1 (Loss)
Logistic Regression,0.5263157894736842,0.0,0.0,0.5263157894736842,0.0,0.0,1.0,0.0,0.0,0.6896551724137931
Random Forest,0.5,0.0,0.0,0.5135135135135135,0.0,0.0,0.95,0.0,0.0,0.6666666666666666
Neural Network,0.5263157894736842,0.0,0.0,0.5263157894736842,0.0,0.0,1.0,0.0,0.0,0.6896551724137931
Neural Network (Class Weights),0.5526315789473685,0.5,1.0,0.5714285714285714,0.5714285714285714,0.25,0.6,0.5333333333333333,0.4,0.5853658536585366
LSTM,0.5357142857142857,0.0,0.0,0.5357142857142857,0.0,0.0,1.0,0.0,0.0,0.6976744186046512
Hybrid LSTM + Feature Model,0.5357142857142857,0.0,0.0,0.5357142857142857,0.0,0.0,1.0,0.0,0.0,0.6976744186046512
